A̱o,S&P,Nasdaq,Bonos,Mercado Monetario
1980,96.71000000000001,72.87,204.92,101.28
1981,104.64,75.78999999999999,224.88,105.14
1982,110.72,78.85,257.19,108.87
1983,116.33,84.3,270.08000000000004,112.13
1984,126.24,83.2,267.11,115.51
1985,129.97,88.78,274.82,118.51
1986,149.74,93.43,295.97,121.65
1987,158.37,99.94,301.12,126.21
1988,167.25,105.62,314.65,132.2
1989,182.36,108.11,351.53,136.13
1990,201.78,106.0,354.64,141.45999999999998
1991,230.48,114.7,379.94,146.68
1992,232.6,119.57,400.52,153.5
1993,261.35,118.27,438.88,159.31
1994,277.38,131.59,497.94,166.89
1995,291.68,140.74,547.15,175.04000000000002
1996,313.83,151.92000000000002,558.9,181.05
1997,365.28,178.64,602.5,190.22
1998,415.39,189.18,664.2,200.79
1999,461.84,228.26,622.94,211.08
2000,518.25,248.42,677.66,217.54
2001,570.89,282.57,789.8,226.73
2002,604.91,304.63,897.02,237.91
2003,653.53,352.04,978.19,251.01
2004,698.1,385.42,1039.88,260.13
2005,797.7,440.26,1129.28,272.24
2006,810.24,480.12,1204.22,283.78999999999996
2007,899.26,555.98,1438.72,298.23
2008,1027.17,623.43,1403.83,313.06
2009,1158.91,830.83,1510.05,329.63
2010,1299.99,858.02,1741.57,348.51
2011,1541.59,905.01,2036.19,362.24
2012,1805.52,1193.27,2096.9,379.21
2013,2047.73,1301.52,2090.6800000000003,399.18
2014,2137.66,1530.08,2161.76,425.55
2015,2278.24,1694.39,2454.9,443.46
2016,2608.46,2118.05,2439.39,467.79
2017,2994.26,2553.1,2477.1,487.34
2018,3499.95,2970.43,2732.02,515.1
2019,3760.76,3440.34,3020.56,539.6800000000001
2020,4797.03,4059.57,3075.58,572.28
2021,5044.0,4904.94,3558.21,599.33
2022,6078.1,5764.99,4046.99,642.71
2023,6743.42,6177.41,4193.39,673.43
